序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,新竹市私立丹尼爾文理技藝短期補習班,2021-05-12,新竹市關東路56號3樓,"1.未提供補習班個人資料安全維護計畫。2.未提供與該班學生簽訂定型化契約。3.未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。4.有收費收據未記載退費規定。5.有使用車輛載送學生，車輛未核備。6.違規變更班址至關東路56號4樓。(1 間遊戲室，現場有11位學生)",糾正件次(列入違規紀錄),2021-05-14,府教社字第1100081216號
2,新竹市私立文欣文理短期補習班,2021-05-05,新竹市建功一路152號1樓至4樓,"1. 未提供補習班個人資料安全維護計畫。2. 未提供與該班學生簽訂定型化契約。3. 未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。4. 違規擴大使用建功一路152號5樓。(原立案教室5間，現場稽查6間，三樓教室1現場學生上課人數15人)5. 違規變更班址至建功一路148-1號1樓。",糾正件次(列入違規紀錄),2021-05-06,府教社字第1100076749號
3,新竹市私立信義文理短期補習班,2021-04-28,新竹市牛埔路50之1號2樓至3樓,現場已無營業之事實，未報府註銷立案程序。,糾正件次(列入違規紀錄),2021-05-05,府教社字第1100075937號
4,新竹市私立師大美語短期補習班,2021-04-28,新竹市牛埔東路275巷30號2、3樓,"未與該班學生簽立定型化契約。 違規擴大使用牛埔東路275巷30號2-3樓。(原立案教室5間，現場稽查7間) 違規變更班址使用牛埔東路275巷30號1樓。1樓使用空間未申報、1樓未設緊急照明設備，倘超過200平方公尺應設防火管理人。",糾正件次(列入違規紀錄),2021-05-04,府教社字第1100073289號
5,新竹市私立聯合文理短期補習班,2021-03-02,新竹市東門街34巷3號1之4樓,"未有建築物公安申報、現場張貼不合格告示，告示編號:D-5047。未簽訂補習班個人資料安全維護計畫。未與該班學生簽訂定型化契約。 未提供收費收據。未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。6. 違規擴大使用東門街34巷1之4樓。(原立案1間教室，現場稽核2間教室)。",糾正件次(列入違規紀錄),2021-02-25,府教社字第1100039881號
6,新竹市私立學立文理短期補習班,2021-02-24,新竹市延平路3段204巷1號1-3樓,"1.未簽訂補習班個人資料安全維護計畫。 2.未與該班學生簽訂定型化契約。 3.未提供收費收據。 4.未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。",糾正件次(列入違規紀錄),2021-02-25,府教社字第1100039881號
7,新竹市私立聯合文理短期補習班光華分班,2020-12-16,新竹市光華二街7號1-2樓,"未投保公共意外責任險。未簽訂補習班個人資料安全維護計畫。未與該班學生簽訂定型化契約。收費收據上記載退費規定與本府不符合。未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。違規擴大使用光華二街7號1至2樓(原立案2間教室，現場稽查後5間教室)。",糾正件次(列入違規紀錄),2020-12-17,府教社字第1090191870號
8,新竹市私立華新文理短期補習班,2020-11-18,新竹市光華北街29號1樓至3樓,"未與學生簽訂定型化契約。未簽訂補習班個人資料安全維護計畫。未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。收費收據有記載退費規定，惟與本府規定不符合。違規擴大使用光華北街29號1-3樓(原立案2間教室，現場稽查3間教室)。",糾正件次(列入違規紀錄),2020-11-19,府教社字第1090176418號
9,新竹市私立欣法老師文理短期補習班,2020-11-18,新竹市光華北街52號1-3樓,"未與學生簽訂定型化契約。未簽訂補習班個人資料安全維護計畫。未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。收費收據有記載退費規定，惟與本府規定不符。懸掛招牌班名與本府核准立案班名不符合。",糾正件次(列入違規紀錄),2020-11-19,府教社字第1090176517號
10,新竹市私立群益文理短期補習班,2020-11-18,新竹市光華北街33號1樓至4樓,"未提供建築物公安簽證申報都市發展處回函。未提供消防安檢申報收執單。未與學生簽訂定型化契約。 未提供履約保證機制。(期繳)未簽訂補習班個人資料安全維護計畫。未完成線上登錄設立人、班主任、教職員工名冊 (身份證字號、西元出生年月日等)。立案證書未懸掛於班內明顯處。",糾正件次(列入違規紀錄),2020-11-19,府教社字第1090176462號
