序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立智理成文理短期補習班,2021-04-20,嘉義縣新港鄉福德村登雲路140號1至2樓,招牌有安親課輔字樣,限期改善件次,2021-04-22,
2,私立耶米文理技藝短期補習班,2021-04-15,嘉義縣大林鎮平林里29鄰民權路69號1-2樓,未落實與學員簽訂定型化契約,限期改善件次,,
3,私立世界美語文理短期補習班,2021-03-31,嘉義縣梅山鄉永興村九芎坑55-16號,地址遷址未辦理變更,糾正件次(列入違規紀錄),2021-04-01,1100076333
4,私立京冠文理短期補習班,2021-03-16,嘉義縣太保市南新里中山路一段295之3號(1~2樓),召收類科與立案類科不符,限期改善件次,,
5,私立叡智文理短期補習班,2021-03-10,嘉義縣太保市太保里124號（1~2樓）,未落實與學員簽訂定型化契約,限期改善件次,,
6,私立允強文理短期補習班,2021-03-08,嘉義縣太保市安仁里公園北街35號1~2樓,"對外廣告有招收課輔班  召收類科與立案類科不符  未落實與學員簽訂定型化契約",限期改善件次,,
7,嘉義縣私立雙春文理短期補習班,2021-03-08,嘉義縣太保市東勢里10鄰太子大道190號,"教職員未依規定報府備查  召收類科與立案類科不符",限期改善件次,,
8,私立聖光文理短期補習班,2021-02-22,嘉義縣新港鄉福德村登雲路111巷1號(1樓),"設立類科與招生對象不符  未詳細落實與學員簽定型化契約",限期改善件次,,
9,嘉義縣私立高第文理短期補習班,2021-02-04,太保市北新里中正路186-1號1、2樓,"設立類科與招生對象不符   教職員名冊未留班備查   定型化契約未留班備查",限期改善件次,,
10,私立智強文理短期補習班,2021-02-02,水上鄉水上村外林街210號(1~4樓),"設立類科與招生對象不符  招牌有安親課輔字樣",限期改善件次,,
11,嘉義縣私立展文文理短期補習班,2021-02-02,水上鄉水上村進學街86巷11號(1~2樓),對外招生有安親課輔,限期改善件次,,
12,私立勵自向上文理短期補習班,2021-02-02,水上鄉水頭村中興路321、323號,"設立類科與招生對象不符  招牌有安親課輔字樣",限期改善件次,,
13,私立達誠文理短期補習班,2021-02-02,嘉義縣水上鄉水上村10鄰外林街93號,"設立類科與招生對象不符  招牌有安親課輔字樣",限期改善件次,,
14,嘉義縣私立泓志文理短期補習班,2021-02-02,水上鄉嘉義縣水上鄉外林街216巷2號1樓,"設立類科與招生對象不符  廣告未依規定辦理",限期改善件次,,
15,嘉義縣私立築勤文理短期補習班,2021-01-28,水上鄉水上村進學街21號(1樓),"招生資訊與設立科目不符  定型化契約未留班備查",限期改善件次,,
16,嘉義縣私立力碩文理短期補習班,2021-01-28,水上鄉柳鄉村16鄰柳子林331之1號1、2樓,招牌招生資訊與設立科目不符,限期改善件次,,
17,私立鴻源文理短期補習班,2021-01-26,嘉義縣太保市北新里中山路1段576號1至2樓,"招牌有安親課輔字樣 定型化契約未留班備查 設立科目與招收對象不符",限期改善件次,,
18,嘉義縣私立台大文理短期補習班,2021-01-26,嘉義縣太保市中山路277之1號1~3樓,"所投保公共意外責任險已過期  教職員名冊未留班備查  定型化契約未留班備查  立案證書未懸掛",限期改善件次,,
19,私立吉利文理短期補習班,2021-01-18,梅山鄉新興路144號,"教職員名冊未留班備查  目前設立科目為其他英語",糾正件次(列入違規紀錄),,
20,私立睿文文理短期補習班,2020-12-15,朴子市祥和二路西段11號(1-3樓),"收據退費規定依據法條錯誤  教職員未檢附警察刑事紀錄證明書",限期改善件次,,
21,私立學成美語短期補習班,2020-11-30,水上鄉水頭村中正路127號(1樓),"地址變更 增設國語",限期改善件次,,
22,私立偉文文理短期補習班,2020-10-30,民雄鄉大學路一段425號(1樓),"聘任教職員未依規定辦理  投保公共意外責任險過期 定型化契約未留班備查",限期改善件次,,
23,私立全美文理短期補習班,2020-08-21,中埔鄉和興村中華路905號（1~3樓）,聘任教職員未依規定辦理投保公共意外責任險未懸掛於明顯處定型化契約未留班備查,限期改善件次,2020-08-25,1090190927
24,私立建中文理短期補習班,2020-08-13,民雄鄉福樂村埤角1之40號,"聘任教職員未依規定辦理  立案證書及投保公共意外責任險未懸掛於明顯處 學生名冊未留班備查 定型化契約未留班備查",限期改善件次,2020-08-20,府教社字第1090188074號
25,私立巨果珠心算語文短期補習班,2020-07-03,民雄鄉福樂村自強二街18號1~2樓,"擅自增設科目 聘任教職員未依規定辦理",限期改善件次,2020-07-07,府教社字第1090150174號
26,私立嘉音英語短期補習班,2020-06-03,太保市南新里中山路一段142號(1~2樓),立案證書及投保公共意外責任險位懸掛於明顯處,糾正件次(列入違規紀錄),,
