序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,臺東縣私立賢儒短期補習班,2021-05-07,台東縣太麻里鄉泰和村太麻里街482號,未提供與學生簽訂之定型化契約、契查表、收費收據、學生名冊、設班基金存款證明、現場教室查有2間使用、學生超過核定數額,限期改善件次,2021-05-13,府教終字第1100099541
2,臺東縣私立YOYO友友兒童創意教室短期補習班,2021-04-28,臺東市漢中街87號1、2樓,"查有未經核准科目(作文)需作新增科目申請,招牌有課輔字樣,需改善",限期改善件次,2021-04-30,府教終字第1100088789號
3,臺東縣私立翰中文理短期補習班,2020-08-19,臺東市漢中街176號,未提供與學生簽訂之定型化契約、契查表、公安保單、學生名冊、設班基金存款證明、宣導事項回覆表,限期改善件次,2020-08-26,府教終字第1090180900號
4,臺東縣私立何家濂畫室短期補習班,2020-08-11,臺東市漢中街194號1樓,未提供與學生簽訂之定型化契約、契約查核評估表、收據、公安保單、設班基金存款證明,限期改善件次,2020-08-19,府教終字第1090175798號
5,臺東縣私立多元文理短期補習班,2020-08-11,臺東市開封街632巷20弄4號,班務資料皆未提供,限期改善件次,2020-08-19,府教終字第1090175775號
6,臺東縣私立史丹佛文理短期補習班,2020-07-07,臺東市豐榮路193號,未提供與學生簽訂之定型化契約、契約查核評估表、收據、公安保單,糾正件次(列入違規紀錄),2020-07-14,府教終字第1090147689號
7,臺東縣私立賢儒短期補習班,2020-06-04,台東縣太麻里鄉泰和村482號,班務資料皆未提供,限期改善件次,2020-06-11,府教終字第1090122942號
8,臺東縣私立愛兒堡文理短期補習班,2020-05-27,臺東市知本康定街367號,未提供符合規定之收據格式,限期改善件次,2020-06-02,府教終字第1090113861號
9,臺東縣私立賢儒短期補習班,2019-09-24,台東縣太麻里鄉泰和村482號,未提供與學生簽訂之定型化契約、契約書茶核評估表、收費收據、公共意外責任險、短期補習班宣導事項調查回覆表，1名新增教師未報本府核准、學生數逾立案申請數額,糾正件次(列入違規紀錄),2019-10-07,1080212525
10,臺東縣私立愛兒堡文理短期補習班,2019-09-11,臺東市知本康定街367號,未依規定懸掛立案證書、未提供收據、公安保單、教室間數不符立案資料,限期改善件次,2019-09-26,1080202259
11,臺東縣私立小湯姆文理短期補習班,2019-09-04,臺東市精誠路45號,未提供與學生簽訂之定型化契約、收據、公安保單、學生名冊、教職員名冊,限期改善件次,2019-09-12,府教終字第1080194617號
12,臺東縣私立梯梯塔音樂藝術學苑短期補習班,2019-08-28,臺東市常德路67巷9號,未提供收據、現場查有2位教師,限期改善件次,2019-09-04,府教終字第1080185103號
13,臺東縣私立安辰文理短期補習班,2019-08-14,臺東市長安街58號,未提供與學生簽訂之定型化契約、收據、公安保單、學生名冊、設班基金存款證明、教職員名冊,限期改善件次,2019-08-21,府教終字第1080176304號
14,臺東縣私立尚舞蹈學苑短期補習班,2019-08-07,臺東市中興路二段37號,未提供與學生簽訂之定型化契約、收據、公安保單,限期改善件次,2019-08-13,府教終字第1080171039號
15,臺東縣私立仁愛文理短期補習班,2019-07-31,臺東市大同路236號2、3、4樓,查有未經核准科目(歷史)、為提供與學生簽訂之新版定型化契約、設班基金存款證明、教職員名冊,限期改善件次,2019-08-06,府教終字第1080164846號
16,臺東縣私立多元文理短期補習班,2019-04-02,臺東市開封街632巷20弄4號,未依規定懸掛立案證書、查班主任已更換未作變更、招牌有課輔字樣未修正、查有未核准科目(英語)、班務資料皆未繳交,限期改善件次,2019-04-19,府教終字第1080080941號
17,臺東縣私立弦音音樂短期補習班,2019-03-20,臺東市博愛路460之1號,未提供收費收據、學生名冊、設班基金存款證明,限期改善件次,2019-04-01,府教終字第1080065436號
18,臺東縣私立翰中文理短期補習班,2019-02-27,臺東市漢中街176號,"現場查僅使用一樓,原立案有1-2樓,需做變更申請",限期改善件次,2019-03-11,府教終字第1080050797號
19,臺東縣私立橘園兒童藝術短期補習班,2019-02-27,臺東市開封街702巷60號,未提供定型化契約、收據、學生名冊、設班基金存款,糾正件次(列入違規紀錄),2019-03-11,府教終字第1080050777號
20,臺東縣私立多元文理短期補習班,2018-11-27,臺東市開封街632巷20弄4號,現場未懸掛立案證書、市招招牌有課輔字樣、查有未核准科目(英文)、班務資料皆未提供,限期改善件次,2018-12-11,府教終字第1070258785號
21,臺東縣私立吉尼爾美語短期補習班,2018-11-21,臺東市臨潼街105號,"現場查有教室3間,需作變更申請",限期改善件次,2018-11-29,府教終字第1070251067號
22,臺東縣私立慧娟舞蹈短期補習班,2018-11-20,臺東市寧波街84巷15之1號,"現場查無補習班、經詢問現場人員(屋主),該班已搬遷多年",糾正件次(列入違規紀錄),,
23,臺東縣私立吉尼爾美語短期補習班臨潼分班,2018-10-12,臺東市臨潼街42巷13號,招生資訊有安親字樣、教室間數不符立案資料,限期改善件次,2018-10-25,府教終字第1070222130號
24,臺東縣私立大成文理短期補習班,2018-10-04,臺東市新生路593、595號,需作班名及設立人、科目變更申請,限期改善件次,2018-10-16,府教終字第1070217347號
25,臺東縣私立胡黛芬瑜伽中心短期補習班,2018-09-06,臺東市台東市寶桑路270、272號,未提供定型化契約、收據、公共意外險保單、設班基金存款證明、教職員名冊,限期改善件次,2018-09-13,府教終字第1070192396號
26,臺東縣私立史丹佛文理短期補習班,2018-08-31,臺東市豐榮路193號,未提供契約、收據、公安保單、學生名冊、設班基金、教職員名冊、個資維護計畫,限期改善件次,2018-09-06,府教終字第1070187784號
27,臺東縣私立舞樂音樂工作室短期補習班,2018-06-06,臺東市中正路428號,未提供定型化契約、公共意外責任險保單、學生名冊、設班基金證明、教職員名冊、個資維護計畫書,限期改善件次,2018-06-19,府教終字第1070124273號
28,臺東縣私立廣學教育中心短期補習班,2018-05-09,臺東市仁二街251號,立案證書未依規定懸掛、稽查紙本資料皆未提供,限期改善件次,2018-05-21,府教終字第1070103078號
29,臺東縣私立橘園兒童藝術短期補習班,2018-05-02,臺東市開封街702巷60號,未繳交紙本備查資料,限期改善件次,2018-05-14,府教終字第1070096729號
30,私立約書亞共學堂短期補習班,2017-10-05,臺東市台東市徐州街326號1樓,公共安全聯合稽查項目資料皆未提供，請該班於1周內補正並提交本府備查；另本府原核准該班開設1間教室，現場有增設3間教室情形，並有疑似輔導學生作業之情形。,限期改善件次,2017-10-16,府教終字第1060214571號
31,私立小茉莉探索學園短期補習班,2017-10-05,臺東市豐盛路26巷67號,提供設班基金存款證明、公共意外責任險保單及定型化契約，請該班於1周內補正並提交本府備查，另查有疑似輔導學生作業之情形。,限期改善件次,2017-10-16,府教終字第1060214570號
32,智基科技開發股份有限公司附設臺東縣私立志光文理補習班,2017-08-23,臺東市中山路323巷8號,招牌班名未依據核准立案書寫,糾正件次(列入違規紀錄),2017-09-14,府教終字第1060188725號
33,私立巨匠電腦短期補習班,2017-08-23,台東市新生路205號1.2樓,1.原核准2間班舍，擅自增設5間教室，應申請變更。2.你新聘教師明涉應送府核備。,糾正件次(列入違規紀錄),2017-09-14,府教終字第1060188726號
34,私立非凡數學短期補習班,2014-06-27,臺東市南京路137號,不在登記班址營業，已擅自搬遷，未申請班址變更,糾正件次(列入違規紀錄),2014-07-03,府教社字第1030130416號
35,私立伯仲文理短期補習班,2012-11-15,臺東市台東市豐榮路50-1號,未營業、招牌已拆除,停止招生,,
36,私立億林文理短期補習班,2012-10-31,臺東市中華路一段137號2樓,招牌已拆除、現場無營業事實,停止招生,,
37,私立伯仲文理短期補習班,2006-10-26,臺東市台東市豐榮路50-1號,緊急逃生通道堆積雜物,限期改善件次,,府城建字第0953034305號
38,私立仁愛文理短期補習班,2006-05-18,臺東市大同路236號3樓,避難層出入口阻塞,限期改善件次,2006-06-23,府城建字第0953018201
39,私立大東海法商電腦短期補習班,2005-02-15,臺東市中山路391號,,限期改善件次,,
2,臺東縣私立蘇菲亞文理短期補習班,2024-03-15,臺東市新生路641巷16弄12號,核備1樓教室一間，但2樓另有2間教室使用中，函文限期改善(恢復原狀)。,限期改善件次,2024-03-22,府教終字第1130063734號函
5,臺東縣私立康乃爾美語短期補習班,2023-08-10,臺東市中正路189號1、2樓,行政班務符合規定，查2樓有三間教室未核備並使用中，需做變更；地下室1F避難室當教室及小型圖書館使用，需恢復原狀。,限期改善件次,2023-08-18,府教終字第1120178503號函
6,臺東縣私立小茉莉探索學園短期補習班,2023-06-21,臺東市豐盛路26巷67號,缺設班基金存款證明。現場並查有未立案核備的小房間一間，當日有學生在裡面玩耍，經確認立案資料後，需擴增教室/使用面積，將函文限期變更。,限期改善件次,2023-07-06,府教終字第1120143641號
