代號,補習班,班址,電話,立案文號,立案日期
33202410250001,語豐有限公司私立蕭博士文理短期補習班,中壢區福州一街70號1-3樓,(03)4517123,府教終字第1130252476號,2024-10-21
33202410160001,私立祥恩文理短期補習班恆美分班,平鎮區環南路457號2樓,(03)4930925,府教終字第1130262623號,2024-10-15
33202410150001,格馳股份有限公司附設私立格馳文理短期補習班,大園區致祥一街130號1-2樓,(03)2878686,府教終字第1130251336號,2024-10-15
33202410110001,私立吉爾堡文理短期補習班,大園區公園路一段53號1-5樓,(03)2870633,府教終字第1130254274號,2024-10-11
33202409240001,極合教育科技股份有限公司附設私立極上一對一光明文理短期補習班,蘆竹區中正路301號3樓之2,(03)3120400,府教終字第1130244861號,2024-09-24
33202409040001,勝騰國際文化有限公司附設私立孟林文理短期補習班,平鎮區廣德街196號1-2樓,(03)4931308,府教終字第1130245595號,2024-09-04
33202408290001,崝藝術股份有限公司附設私立崝藝術技藝文理短期補習班,龜山區文吉路28號1樓,(03)3974679,府教終字第1130213484號,2024-08-29
33202408260001,私立奇士威文理短期補習班,蘆竹區南上路29號2-4樓,(03)3119567,府教終字第1130233226號,2024-08-26
33202408220001,私立科達文理技藝短期補習班,八德區東勇二路99號2樓,(03)3615599,府教終字第1130207136號,2024-08-22
33202408140001,私立金威文理短期補習班,中壢區自強六路122號2樓,(03)4628666,府教終字第1130184703號,2024-08-12
33202408200001,私立知悉文理短期補習班,中壢區少康二街15號1樓及17號1樓,(03)4288115,府教終字第1130197316號,2024-08-12
33202407260001,私立嘉麒語文文理短期補習班,大園區新生路四段75號1樓,03-2877588,府教終字第1130179231號,2024-07-26
33202407190003,私立企鵝家族文理短期補習班國際分班,中壢區自立三街48號4樓及5樓,(03)4550553,府教終字第1130173910號,2024-07-19
33202407190002,私立創奇文理短期補習班,中壢區龍岡路一段119號1-2樓,(03)4580236,府教終字第1130165837號,2024-07-17
33202407170001,私立方華文理短期補習班東興分班,中壢區衡陽街83號1-4樓,(03)4288548,府教終字第1130152819號,2024-07-11
33202407190001,私立方華文理短期補習班信義分班,中壢區衡陽街8號1-2樓,(03)4583399,府教終字第1130169145號,2024-07-11
33202407040002,私立昇華文理短期補習班,八德區廣福路20巷50號1-3樓,(03)2181391,府教終字第1130148639號,2024-07-04
33202407040001,私立文山美語文理短期補習班,桃園區力行路610、612號1樓,(03)3608038,府教終字第1130167658號,2024-07-03
33202407020001,私立辰星文理短期補習班領航旗艦分班,中壢區領航南路二段231、233號1樓,(03)2870989,府教終字第1130155513號,2024-06-28
33202407020002,私立興儒文理短期補習班八德分班,八德區忠誠街10號1-3樓,(03)3630333,府教終字第1130132187號,2024-06-28
33202406270001,私立麋爾頓文理技藝短期補習班,大園區大勇路26號2-5樓,(03)2878335,府教終字第1130173300號,2024-06-27
33202407010001,私立政大聯合文理短期補習班,楊梅區大平街10號1-2樓,(03)4752830,府教終字第1130140996號,2024-06-27
33202407010002,私立放學堂文理短期補習班,中壢區復華街253號1-2樓,(03)4559225,府教終字第1130135494號,2024-06-27
33202406200001,私立嘉分文理短期補習班,平鎮區環南路三段53-1號2樓,(03)4579669,府教終字第1130130366號,2024-06-20
33202406210001,私立上課囉文理短期補習班,中壢區皓東街23號1樓,(03)4520908,府教終字第1130143629號,2024-06-18
33202406120001,私立湯瑪士文理短期補習班,八德區中山路117號1-2樓,(03)3732003,府教終字第1130116766號,2024-06-13
33202406130001,成鋼國際股份有限公司附設私立樂青英語文理短期補習班,龜山區文化二路526號1樓,(03)3970221,府教終字第1130155268號,2024-06-12
33202404250001,私立樂捷文理技藝短期補習班,桃園區莊敬路一段187號1-3樓,(03)3161791,府教終字第1130087089號,2024-04-25
33202404190001,私立方華文理短期補習班中壢分班,平鎮區德育路97號1-3樓,(03)4261358,府教終字第1130070392號,2024-04-19
33202404170001,私立愛樂藝術坊技藝短期補習班,蘆竹區忠孝西路39號2樓,(03)3222096,府教終字第1130067298號,2024-04-17
33202404100001,私立沐樂文理技藝短期補習班,八德區豐田三路71號1樓及夾層,(03),府教終字第1130087088號,2024-04-10
33202404090001,私立快樂家文理短期補習班,龜山區樂學路560號1樓,(03)3282636,府教終字第1130066435號,2024-04-09
33202404080002,私立方華文理短期補習班楊梅分班,楊梅區環南路216號1-2樓,(03)4880868,府教終字第1130048199號,2024-04-02
33202404080001,私立學府音樂技藝短期補習班,中壢區長樂二街27號1樓,(03)4336488,府教終字第1130062773號,2024-04-02
33202403190001,私立文恩文理短期補習班,桃園區延平路168號1-2樓,(03)2180570,府教終字第1130060294號,2024-03-19
33202403180001,私立武欣文理短期補習班,中壢區過嶺路一段22號1-4樓,(03)4206781,府教終字第1130035122號,2024-03-13
33202403130001,私立上群文理短期補習班,蘆竹區五福六路28號1樓,(03)3229477,府教終字第1130061014號,2024-03-13
33202402260001,私立嘉成文理短期補習班,八德區介壽路一段919號4樓之1、4樓之2、4樓之3,(03)3662598,府教終字第113019675號,2024-02-26
33202402220001,私立荼荼舞蹈空間技藝短期補習班,大園區大成路一段10號1、2樓,(03)2877555,府教終字第1130013545號,2024-02-23
33202402070001,私立茱莉亞技藝短期補習班,蘆竹區六福路156號1樓,(03)3526897,府教終字第1130010579號,2024-02-07
33202402160001,私立龍科國際美語村文理短期補習班,龍潭區梅龍路500號1樓,(03)4791109,府教終字第1130005741號,2024-01-31
33202401310001,私立一千英文文理短期補習班,平鎮區振興路59號1樓及2樓部分,(03)4592258,府教終字第1130010643號,2024-01-31
33202401300001,私立千和文理短期補習班,龍潭區神龍路224號1-2樓,(03)4791885,府教終字第1130012927號,2024-01-25
33202401260001,私立奧首華文理短期補習班快樂分班,桃園區大有路715號1-3樓,(03)3587231,府教終字第1120344388號,2024-01-23
33202401170001,私立河馬美術技藝短期補習班,桃園區南豐街193號1-2樓,(03)3663721,府教終字第1120360595號,2024-01-16
33202401220001,私立啟程文理短期補習班,龍潭區中正路185巷1號1-3樓,(03)4797058,府教終字第1120357022號,2024-01-16
33202401030001,得邑投資股份有限公司私立好學習文理短期補習班,桃園區大有路150號1-2樓,(03)3361515,府教終字第1120325480號,2024-01-03
33202401080001,私立弘揚文理短期補習班,中壢區龍東路410號1-2樓,(03)4560923,府教終字第1120333607號,2024-01-02
33202312210001,私立小立昇文理短期補習班,中壢區普光街117號1-3樓,(03)4662829,府教終字第1120300424號,2023-12-19
33202312120001,私立雷盟德技藝文理短期補習班,龍潭區神龍路284號1-4樓,(03)4704720,府教終字第1120314825號,2023-12-06
33202312070001,私立才鼎文理短期補習班,桃園區中山北路45號4樓,(03)3352456,府教終字第1120306943號,2023-12-06
33202312040001,私立育昇大成文理語文短期補習班和平分班,八德區和平路174號、176號1樓及174-1號2樓,(03)3765350,府教終字第1120302982號,2023-12-01
33202311130001,私立青峰文理短期補習班,桃園市大園區青峰路2段168號1-2樓,(03)2872633,府教終字第1120292897號,2023-11-13
33202311080001,私立橙久文理技藝短期補習班,桃園區大連二街166號1樓,(03)317-9008,府教終字第1120281095號,2023-11-08
33202311060002,華鈞文教事業股份有限公司附設私立華鈞文理短期補習班,大園區新生路四段121號2樓、123號2樓部分,(03)2872985,府教終字第1120269165號,2023-11-07
33202311060001,私立福克斯文理短期補習班致遠分班,中壢區致遠一路276號1-2樓及278號1-2樓,(03)2870630,府教終字第1120272505號,2023-11-01
33202310310001,私立樂智英語文理短期補習班,桃園市龜山區文東五街78號1樓,(03)397-0509,府教終字第1120271287號,2023-10-31
33202310250001,私立學育文理短期補習班育才分班,中壢區文化路140號1-4樓,(03)4511560,府教終字第1120272789號,2023-10-25
33202310160001,私立專進文理短期補習班,大園區中正二街48號1樓,0982633353,府教終字第1120267262號,2023-10-16
33202310130001,私立學好文理短期補習班,中壢區中央西路二段268號5樓,(03)4950016,府教終字第1120198430號,2023-10-13
33202310050001,私立得餘文理短期補習班,蘆竹區光明路二段20號1樓、22號1樓,(03)3526527,府教終字第1120247742號,2023-10-05
33202310060001,私立西門甲子文理短期補習班,桃園區中福街54號1-3樓,(03)3360060,府教終字第1120251485號,2023-10-04
33202310020001,私立二聖文理短期補習班,大園區中正二街39號1樓部分2樓全部,(03)3868808,府教終字第1120264180號,2023-10-02
33202310040001,私立津煜文理短期補習班普仁分班,中壢區普光二街85巷15號4樓,(03)4562617,府教終字第1120266671號,2023-09-28
33202309080001,高明一對一學習有限公司私立高銘一對一文理短期補習班桃園分班,桃園區桃園區大同路13號4樓,(03)3378000,府教終字第1120216142號,2023-09-08
33202308310001,私立騛騰文理短期補習班,平鎮區廣泰路201巷22號1-2樓、26號1樓,(03)4952285,府教終字第1120207848號,2023-08-31
33202308230001,私立智森文理短期補習班,桃園區自強路77號1樓,(03)3311155,府教終字第1120198712號,2023-08-21
33202307260001,私立智墨文理短期補習班,桃園區文中路133號1-5樓,(03)2170037,府教終字第1120165617號,2023-07-25
33202307250001,私立葛萊文理短期補習班八德分班,八德區介壽路一段985號1-3樓,(03)3610885,府教終字第1120165080號,2023-07-21
33202307200001,私立霆磊文理短期補習班,中壢區治平街41號3樓,(03)4656194,府教終字第1120159874號,2023-07-18
