代號,補習班,班址,電話,立案文號,立案日期
70202408050003,私立北約克文理短期補習班,鳳山區瑞順街128號1-2樓,07-7195913,高市教社字第11431371200號,2025-02-24
70202502140001,私立金名文理短期補習班龍華自由分班,左營區大順一路210號1-4樓,556-6563,高市教社字第11431195400號,2025-02-17
70202502130001,明光文教事業股份有限公司附設明光義塾語文文理短期補習班正興分班,三民區建興路357號1-2樓,389-0005,高市教社字第11431099900號,2025-02-13
70202501070001,私立知傳文理短期補習班陽小分班,三民區義德路56號之1號1-2樓,380-0800,高市教社字第11430791600號,2025-02-05
70202501140001,私立新國際技藝文理短期補習班,大寮區力行路142號1樓,07-7866106,高市教社字第11430811700號,2025-02-05
70202408050002,私立著癮藝術文理技藝短期補習班,鳳山區鳳甲路5號1樓、夾層,0963220558,高市教社字第11430666900號,2025-01-23
70202405010001,私立楠一文理短期補習班德民分班,楠梓區右昌街538號1-5樓,363-0036,高市教社字第11430602100號,2025-01-22
70202405080001,私立瑞隆音樂美語文理技藝短期補習班,鳳山區善美路79號1-3樓,07-7263712,高市教社字第11430519300號,2025-01-20
70202406270001,私立翰生文理短期補習班,阿蓮區忠孝路392號1-2樓,07-6317856,高市教社字第11430270300號,2025-01-17
70202407290001,私立合和外語文理短期補習班,前鎮區光華二路70號1樓,716-9538,高市教社字第11430387000號,2025-01-14
70202405160002,私立必應外語文理短期補習班,鼓山區美術東二路82號1樓、夾層、2樓,,高市教社字第11430122600號,2025-01-07
70202501060001,丹丹英語有限公司附設私立丹丹英語文理短期補習班,鼓山區河西一路1441號1樓、夾層,555-0003,高市教社字第11430122500號,2025-01-07
70202401310001,瀚將教育科技股份有限公司附設百瀚文理短期補習班仁武分班,仁武區永仁街586號1-4樓,0983-802-836,高市教社字第11340057400號,2024-12-23
70202407220001,私立新芽文理技藝短期補習班,苓雅區漢昌街19號1-3樓,2236321,高市教社字第11339411200號,2024-11-28
70202410300001,台灣拓人教育事業股份有限公司附設拓人文理短期補習班高雄美術館分班,鼓山區美術東六街117號1樓,555-5117,高市教社字第11339085300號,2024-11-19
70202401260001,孔孟文化事業有限公司附設高雄市私立孔孟苓雅文理短期補習班,苓雅區青年一路111號1-2樓,338-6579,高市教社字第11338721400號,2024-11-13
70202403250001,艾薇教育事業有限公司附設艾美森外語文理短期補習班過埤分班,鳳山區保生路65號1-4樓,07-7920658,高市教社字第11338629400號,2024-11-05
70202410290001,私立先端文理短期補習班澄德分班,仁武區澄德路85號1樓,373-7038,高市教社字第11338561500號,2024-11-05
70202403180001,私立微笑森林外語文理短期補習班高鐵分班,左營區重義路22號1-2樓,0915-353-688,高市教社字第11338611200號,2024-11-01
70202405240001,私立金守文理短期補習班,三民區黃興路103號1樓,392-3888,高市教社字第11338239700號,2024-10-28
70202404230004,私立芮米文理短期補習班,仁武區永仁街600號1-4樓,371-6689,高市教社字第11338417400號,2024-10-28
70202406170001,私立葳林文理技藝短期補習班新甲分班,鳳山區大明路228號1-2樓,741-3030,高市教社字第11337997000號,2024-10-14
70202405230001,高明一對一學習有限公司附設高明一對一文理短期補習班美術館分班,鼓山區中華一路457號1-2樓,550-3000,高市教社字第11337378100號,2024-10-07
70202307190001,精誠資訊股份有限公司附設恆毅電腦短期補習班,苓雅區新光路38號4樓之1,5361199,高市教社字第11337551800號,2024-09-27
70202404170001,私立貝力達文理短期補習班憲政分班,苓雅區憲政路136號1-2樓,2231891,高市教社字第11337261100號,2024-09-23
70202409180001,赫越電腦有限公司附設赫越電腦短期補習班建國分班,三民區建國三路111號12樓之1,235-1999,高市教社字第11337321900號,2024-09-20
70202404180001,私立英捷文理短期補習班,鳳山區新強路205號1樓、夾層、2樓,767-1788,高市教社字第11337210700號,2024-09-18
70202311300001,私立題卜英文文理短期補習班,左營區文府路331號1-2樓及夾層,350-5069,高市教社字第11336895300號,2024-09-04
70202401220001,英鐸有限公司附設私立育勝文理技藝短期補習班,楠梓區大學東路89號1樓,364-9468,高市教社字第11336738600號,2024-09-02
70202401220002,紅橙藝術有限公司附設紅橙藝術技藝短期補習班,左營區明誠二路332號8樓之2,0919-881-504,高市教社字第11336650300號,2024-08-28
70202406050001,私立高名文理短期補習班五福分班,新興區中正二路222號8樓之1.之2,223-8808,高市教社字第11336543600號,2024-08-28
70202402230001,私立敲一敲藝術空間文理技藝短期補習班,鼓山區華榮路240之3號1-3樓,0937-562-998,高市教社字第11336023800號,2024-08-16
70202404230002,私立新夢想文理短期補習班,岡山區育英路6巷1號1樓,625-3633,高市教社字第11336114600號,2024-08-12
70202401220003,私立劉威宏資優數學文理短期補習班,苓雅區永靖街5號1樓、夾層、2樓,0934052323,高市教社字第11335504100號,2024-08-05
70202310250002,私立達標文理短期補習班,左營區左營大路678之8號1-2樓,585-7777,高市教社字第11335856700號,2024-08-02
70202212060002,私立成大文理短期補習班龍新分班,鼓山區大順一路859號1樓、夾層、2樓,555-5005,高市教社字第11335806600號,2024-08-02
70202403060001,知識源文教諮詢有限公司附設高雄市私立知識源文理短期補習班,鼓山區美術東五路40號1-2樓,586-7527,高市教社字第11334923700號,2024-07-17
70202407090001,志光教育科技股份有限公司附設學儒法商文理公職證照短期補習班,新興區八德二路17號2-3樓,235-4321,高市教社字第11335276100號,2024-07-10
70202407020001,私立耶加文理短期補習班左新分班,左營區曾子路290號1-3樓,345-4681，0952-165-758,高市教社字第11335062900號,2024-07-02
70202405140001,私立傳鵬文理短期補習班,小港區高坪三十二街25號,891-2191,高市教社字第11335029400號,2024-07-02
70202311200002,私立柏樂圍棋文理技藝短期補習班,左營區修明街132號1-2樓及夾層,0960003536,高市教社字第11334547200號,2024-06-17
70202301180001,私立瘋美學院美容技藝短期補習班,三民區十全二路331號6樓之1,0925215959,高市教社字第11333582300號,2024-05-14
70202405090001,私立強納生美語文理短期補習班新上分班,左營區自由二路77號1-2樓,556-3066,高市教社字第11333523400號,2024-05-09
70202107210001,威爾森文教事業股份有限公司附設高雄市私立威爾森鳳翔文理短期補習班,鳳山區環河街18號3樓,07-703-4870,高市教社字第11332806100號,2024-04-29
70202307140001,樂咪音樂文教有限公司附設樂咪音樂學院技藝短期補習班,鳳山區文興街2號1-2樓,746-3347,高市教社字第11332728700號,2024-04-19
70202309180001,明光青年文教有限公司附設明光青年文理短期補習班,鳳山區文衡路394號1-2樓,777-4997,高市教社字第11332556000號,2024-04-18
70202105280001,私立高登畫苑技藝文理短期補習班,楠梓區右昌街143巷30弄21號1樓,364-3876,高市教社字第11332740100號,2024-04-15
70202109090001,精華國際教育管理顧問股份有限公司附設精英國際文理技藝短期補習班,鳳山區南華一路123巷3號1-4樓,,高市教社字第11331938200號,2024-03-27
70202403250002,私立仁澄文理技藝短期補習班,仁武區仁雄路288號1-4樓,374-4600,高市教社字第11333994100號,2024-03-27
70202310230001,明光鳳山文教有限公司附設明光鳳山文理短期補習班,鳳山區瑞興路31號1樓,710-7018,高市教社字第11332136800號,2024-03-27
70201705020003,私立立明文理短期補習班永仁分班,仁武區永仁街578號1-4樓,0937678995,高市教社字第11332230300號,2024-03-25
70202308040001,私立欣叡文理短期補習班,左營區孟子路389號1-2樓,350-0958,高市教社字第11332039100號,2024-03-18
70202403040001,私立橋森文理短期補習班,鳳山區新富路256號1-2樓,767-5889,高市教社字第11331799800號,2024-03-15
70202307120001,私立石老師文理短期補習班,仁武區永仁街596號1-4樓,372-7719,高市教社字第11331742300號,2024-03-08
70202310250001,私立強納生美語文理短期補習班華泰分班,左營區華泰路344號1-3樓,552-8362,高市教社字第11331656300號,2024-03-05
70202107290001,私立成大文理短期補習班博愛分班,三民區自由一路77號1-5樓,556-5996,高市教社字第11331371100號,2024-02-22
70202308140001,瀚將教育科技股份有限公司附設百瀚文理短期補習班岡山分班,岡山區公園東路70號1-3樓,623-6760,高市教社字第11330891500號,2024-02-02
70202309210001,私立宏奎文理短期補習班,苓雅區廣州一街163號4樓之2,958-1688,高市教社字第11330461400號,2024-01-23
70202304210001,逸璿國際有限公司附設私立夢想起飛美業國際教育技藝短期補習班,苓雅區光華一路206號13樓之5,223-7828,高市教社字第11239845200號,2024-01-03
70202310180001,私立主人翁文理技藝短期補習班,岡山區竹圍中街100號1-4樓,622-4789,高市教社字第11239889900號,2023-12-29
